id,name,category,price,sizes,image,badge,description
39,Gold-Plated Earrings 39,jewellery,33576,One Size,images/model_09.jpg,Best Seller,High-quality fabric with premium embroidery and finishing.
40,Embroidered Lehenga 40,lehenga,71515,XS;S;M;L;XL,images/model_10.jpg,,High-quality fabric with premium embroidery and finishing.
41,Silk Shawl 41,shawl,145591,One Size,images/model_11.jpg,,High-quality fabric with premium embroidery and finishing.
42,Bridal Dress 42,bridal,109878,XS;S;M;L;XL,images/model_12.jpg,-10%,High-quality fabric with premium embroidery and finishing.
43,Silk Shawl 43,shawl,63073,One Size,images/model_13.jpg,Best Seller,High-quality fabric with premium embroidery and finishing.
44,Embroidered Lehenga 44,lehenga,30337,XS;S;M;L;XL,images/model_14.jpg,Best Seller,High-quality fabric with premium embroidery and finishing.
45,Embroidered Lehenga 45,lehenga,35715,XS;S;M;L;XL,images/model_15.jpg,New,High-quality fabric with premium embroidery and finishing.
46,Bridal Dress 46,bridal,69033,XS;S;M;L;XL,images/model_16.jpg,New,High-quality fabric with premium embroidery and finishing.
47,Designer Sharara 47,sharara,123527,XS;S;M;L;XL,images/model_17.jpg,,High-quality fabric with premium embroidery and finishing.
48,Embroidered Lehenga 48,lehenga,79162,XS;S;M;L;XL,images/model_18.jpg,-10%,High-quality fabric with premium embroidery and finishing.
49,Gold-Plated Earrings 49,jewellery,49134,One Size,images/model_19.jpg,,High-quality fabric with premium embroidery and finishing.
50,Designer Sharara 50,sharara,50025,XS;S;M;L;XL,images/model_20.jpg,,High-quality fabric with premium embroidery and finishing.
